image_path,scientific_name,specimen_id,common_name
images/pieris_napi_001.jpg,Pieris napi,PN-001,Green-veined White
images/pieris_napi_002.jpg,Pieris napi,PN-002,Green-veined White
images/pieris_napi_003.jpg,Pieris napi,PN-003,Green-veined White
images/vanessa_atalanta_001.jpg,Vanessa atalanta,VA-001,Red Admiral
images/vanessa_atalanta_002.jpg,Vanessa atalanta,VA-002,Red Admiral
images/vanessa_atalanta_003.jpg,Vanessa atalanta,VA-003,Red Admiral
images/aglais_io_001.jpg,Aglais io,AI-001,European Peacock
images/aglais_io_002.jpg,Aglais io,AI-002,European Peacock
images/aglais_io_003.jpg,Aglais io,AI-003,European Peacock
images/gonepteryx_rhamni_001.jpg,Gonepteryx rhamni,GR-001,Common Brimstone
images/gonepteryx_rhamni_002.jpg,Gonepteryx rhamni,GR-002,Common Brimstone
images/gonepteryx_rhamni_003.jpg,Gonepteryx rhamni,GR-003,Common Brimstone
images/polyommatus_icarus_001.jpg,Polyommatus icarus,PI-001,Common Blue
images/polyommatus_icarus_002.jpg,Polyommatus icarus,PI-002,Common Blue
images/polyommatus_icarus_003.jpg,Polyommatus icarus,PI-003,Common Blue
